Serial Number,Manufacturers Name,Business Name,Date Of Accident,Time Of Accident,Clock,Vehicle Year,Model,City,County,Driving Status,Pedestrian Involved,Bicyclist Involved,Other,Number Of Vehicles Involved,Damage: None,Damage: Minor,Damage: Moderate,Damage: Major,Model_2,Moving_2,Accident Detail Description,Weather Clear,Weather Cloudy,Weather Raining,Weather Snowing,Weather Fog,Weather Other,Weather Wind,Lighting Daylight,Lighting Dark-Dawn,Lighting Dark-Street lights,Lighting Dark-No street lights,Lighting  Dark-Street lights not functioning,Roadway Dry,Roadway Wet,Latitude,Longitude,Narrow Roadway,Parked Vehicles,Intersection,Struck by Others,Other Party
298,Waymo LLC,Waymo LLC,02/05/2024,10:01,PM,2021,I-Pace,Los Angeles,Los Angeles,Moving,,,,1,,Yes,,,,,"On February 5, 2024 at 10:01 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a gate at Watt Way and West Exposition Boulevard.  The Waymo AV was traveling south on Watt when it approached an automatic gate as it had started to close. The right side of the Waymo AV made contact with the door of the gate. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. ",,,Yes,,,,,,,Yes,,,,Yes,33.7866,-118.2987,0,0,1,0,0
299,Waymo LLC,Waymo LLC,2/18/2024,01:03,AM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Toyota Camry,Yes,"On February 18, 2024 at 1:03 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on The Embarcadero at Washington Street.  The Waymo AV was stopped in traffic for a red light on The Embarcadero southbound when a passenger car approached from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). Both vehicles sustained damage and the passenger car left the scene.",,Yes,,,,,,,,Yes,,,,Yes,37.7974,-122.4001,0,0,1,1,1
300,"Zoox, Inc.",Zoox,2/22/2024,11:00,AM,2019,Highlander,San Francisco,San Francisco,Moving,,,Transit Bus,2,,,Yes,,,Yes,"A Zoox vehicle (Vehicle 1) in autonomy, traveling northeast on Mission St, was stopped in lane for a red traffic light at 9th Street. A SamTrans bus (Vehicle 2), with a front-mounted triple-bike rack extending past the width of the bus on the driver's side, was traveling southeast on 9th Street and attempting a right turn onto Mission St. The protruding edge of the bike rack was encroaching into the Zoox vehicle's travel lane as the bus was executing the right hand turn. As the light turned green the Zoox vehicle inched forward and attempted to steer away from the bus. Just as the safety operator disengaged from autonomy, the protruding edge of the bike rack made contact with the driver's side fender on the Zoox vehicle. There were no reported injuries and the police were not called.",Yes,,,,,,,Yes,,,,,,,37.7725,-122.4147,0,0,1,1,2
301,Waymo LLC,Waymo LLC,03/03/2024,03:12,PM,2024,I-Pace,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Ford 4C,Yes,"On March 3, 2024 at 3:12 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a pick-up truck near the 2300 block of Cesar Chavez Street.  The Waymo AV was traveling westbound on Cesar Chavez Street towards 26th Street when it approached a pick-up truck which was oriented with its rear partially in the roadway on the north side of Cesar Chavez street. The pick-up truck was stationary but its reverse lights were illuminated. The Waymo AV came to a stop momentarily to yield to the pick-up truck, then began moving again to pass the pick-up truck, which had remained stopped. After the Waymo AV started moving, the pick-up truck began reversing further out of the driveway and the rear of the pick-up truck made contact with the right side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage.",,,Yes,,,,,Yes,,,,,,Yes,37.7309,-122.3886,-1,1,0,1,2
302,Waymo LLC,Waymo LLC,03/08/2024,12:06,PM,2021,I-Pace,Los Angeles,Los Angeles,Moving,,,,2,,Yes,,,Audi Q3 Quattro,Yes,"On March 8, 2024 at 12:06 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car near the 1600 block of S. Figueroa Street.   The Waymo AV made a left turn from W. 17th Street onto S. Figueroa Street and came to a stop in a queue of stopped traffic. A passenger car traveling straight on S. Figueroa Street behind the Waymo AV made contact with the rear of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the passenger car left the scene.",Yes,,,,,,,Yes,,,,,Yes,,34.0434,-118.2716,0,1,1,1,1
303,Waymo LLC,Waymo LLC,3/14/2024,02:42,PM,2021,I-Pace,Los Angeles,Los Angeles,Stopped In Traffic,,,,2,,Yes,,,Toyota Avalon Limited / Touring / XL / XLS,Yes,"On March 14, 2024 at 2:42 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a passenger car on S Figueroa Street at 7th Street.   The Waymo AV was traveling northeast on S Figueroa Street in the lane adjacent to the rightmost, bus-only lane. As the Waymo AV approached the intersection with 7th Street, it came to a stop behind another vehicle stopped in traffic. As a passenger car was passing the Waymo AV in the bus lane to the right of the Waymo AV, the passenger car made contact with the passenger side of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the passenger car left the scene.  Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. ",Yes,,,,,,,Yes,,,,,Yes,,34.0559,-118.2666,0,1,1,1,1
304,Waymo LLC,Waymo LLC,3/19/2024,07:18,AM,2024,I-Pace,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Tesla Model 3,Yes,"On March 19, 2024 at 7:18 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on Division Street at 9th Street.   The Waymo AV was traveling west on Division Street after having stopped at the stop sign at Vermont Street and was approaching the intersection with 9th Street when a passenger car approached from behind the Waymo AV, ran the stop sign at Vermont Street, and made contact with the rear of the Waymo AV. The front of the passenger car made continuous contact with the rear of the Waymo AV while both vehicles were still in motion for a short period of time before the passenger car slowed down and separated from the AV. The Waymo AV proceeded through the intersection with 9th Street and came to a stop on Division Street west of the intersection with 9th Street. The passenger car then accelerated and the front right corner of the passenger car made contact with the rear left corner of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.",,Yes,,,,,,Yes,,,,,Yes,,37.7725,-122.4147,0,0,1,1,1
305,Waymo LLC,Waymo LLC,3/22/2024,08:00,PM,2024,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Audi Q5 3.2 Quattro Premium Plus,Yes,"On March 22, 2024 at 08:00 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car near the 200 block of Church Street before Market Street.   The Waymo AV was traveling north on Church Street towards the intersection with Market Street when it came to a stop behind an SUV which was stopped in-lane to load passengers. Another SUV approached from behind the Waymo AV and came to a stop. The lead SUV finished loading passengers and proceeded forward to the stop line at Market Street, and the Waymo AV proceeded forward as well. The trailing SUV proceeded forward and the front of the SUV made contact with the rear of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the SUV left the scene. ",,,Yes,,,,,,,Yes,,,,Yes,37.7587,-122.433,1,0,1,1,1
306,Waymo LLC,Waymo LLC,3/28/2024,07:30,AM,2021,I-Pace,Los Angeles,Los Angeles,Moving,,,,2,,Yes,,,BMW 430i,,"On March 28, 2024 at 7:30 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a passenger car on Louisiana Avenue at Kerwood Avenue.   While making a tight left turn from southbound Kerwood Avenue onto northeastbound Louisiana Avenue, the Waymo AV made contact with the driver side of a parked passenger car. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage. ",Yes,,,,,,,Yes,,,,,Yes,,34.0447,-118.4487,0,1,1,0,1
307,Waymo LLC,Waymo LLC,3/30/2024,01:33,AM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Nissan Murano S / SE / SL,Yes,"On March 30, 2024 at 1:33 AM PT, a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on Jerrold Avenue at Barneveld Avenue.  The Waymo AV was stopped at a stop sign on Jerrold Avenue and yielding to a pickup truck that was in the intersection making a left turn from Barneveld Avenue onto Jerrold Avenue when the front right corner of the SUV, which was traveling behind the Waymo AV, made contact with the rear left corner of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.",,,Yes,,,,,,,Yes,,,,Yes,37.7309,-122.3886,-1,0,1,1,0
308,"Zoox, Inc.",Zoox,04/02/2024,07:25,PM,2023,AV,Foster City,San Mateo,Moving,,,Utility valve cover,1,,,Yes,,,,"A Zoox vehicle in autonomy, traveling westbound on 3rd Avenue toward Foster City Blvd in Foster City drove over an in-lane utility valve box with a displaced valve cover. The Zoox vehicle sustained damage to the undercarriage. There were no reported injuries and police were not called.",Yes,,,,,,,,Yes,,,,,,37.5538,-122.27,0,0,0,0,0
309,Waymo LLC,Waymo LLC,4/13/2024,03:35,PM,2021,I-Pace,San Francisco,San Francisco,Moving,,,,2,,,Yes,,Ford F-350 Super Duty Lariat,,"On April 13, 2024 at 3:35 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a pickup truck on Bayshore Boulevard near Boutwell Street.   The Waymo AV was traveling southbound on Bayshore Boulevard in the far right lane when it passed a pickup truck that was stopped in the bike lane. As the Waymo passed the pickup truck, the driver of the pickup truck opened the driver’s side door and the door made contact with the Waymo’s passenger side wing mirror and rear right sensor housing.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage.",,Yes,,,,,,Yes,,,,,,,37.7309,-122.3886,0,1,0,1,2
310,"Pony.ai, Inc.",Pony.ai,4/23/2024,03:05,PM,2019,MKZ,Fremont,Alameda,Moving,,,,1,Yes,,,,,,"On April 23, 2024, a Pony.ai autonomous vehicle (AV) scraped a curb on Lakeview Blvd near the intersection of Lakeview Blvd & Gateway Blvd in Fremont, CA. The vehicle was operating in supervised autonomous (""Drivered"") mode. There were no other vehicles, pedestrians, or road users involved.  Following the incident, the safety operator promptly drove the AV, in manual mode, to Pony.ai's Fremont office. There were no injuries reported, and the police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.5308,-121.9712,-1,0,1,0,0
311,Waymo LLC,Waymo LLC,5/13/2024,12:58,AM,2021,I-Pace,Los Angeles,Los Angeles,Moving,,,,2,,,Yes,,,Yes,"On May 13, 2024 at 12:58 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, CA was in a collision involving a passenger car on eastbound Interstate 10 between Exit 2 and Exit 3A.   The Waymo AV was traveling with a test driver present behind a box truck in the number 3 lane of eastbound Interstate 10 near the Bundy Drive overpass when a passenger car traveling at a high rate of speed approached the Waymo AV from behind. The passenger car partially entered the number 2 lane as the front right corner of the passenger car made contact with the rear left corner of the Waymo AV. The passenger car then made contact with the center median and came to a stop. The Waymo AV was transitioned into manual mode, and the test driver stopped the Waymo AV to the right-hand shoulder. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage. ",,Yes,,,,,,,,,Yes,,Yes,,34.0324632,-118.4343293,0,0,0,1,1
312,"Pony.ai, Inc.",Pony.ai,5/15/2024,03:25,PM,2019,MKZ,Fremont,Alameda,Moving,,,plastic ln divider,1,,Yes,,,,,"On May 15, 2024, the front right bumper of a Pony.ai autonomous vehicle (AV) scraped against a flexible plastic traffic pylon on Auto Mall Pkwy near the intersection of Auto Mall Pkwy & Grimmer Blvd, in Fremont, CA. The vehicle was operating in supervised autonomous (“Drivered”)  mode. There were no other vehicles, pedestrians, or road users involved.  Following the incident, the safety operator pulled over in a safe location and confirmed there was only minor cosmetic damage to the front bumper of the AV. The safety operator then promptly drove the vehicle, in manual mode, to Pony.ai’s Fremont office. There were no injuries, and the police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.5100627,-121.9632961,0,0,1,0,0
313,Waymo LLC,Waymo LLC,5/20/2024,03:02,AM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,,Yes,,Toyota,Yes,"On May 20, 2024 at 3:02 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on 14th Street at Folsom Street.   The Waymo AV was traveling east on 14th Street and came to a stop at a red light at the intersection with Folsom Street to prepare for a left turn. When the light turned green, the Waymo AV proceeded into the intersection. As it did so, a passenger car traveling southbound on Folsom Street at a high rate of speed entered the intersection against a red traffic light. The front of the passenger car made contact with the driver’s side of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage, and the passengers of the passenger car left the scene on foot.  ",Yes,,,,,,,,,Yes,,,Yes,,37.7725,-122.4147,0,0,1,1,1
314,"Zoox, Inc.",Zoox,5/30/2024,04:02,PM,2023,sedan,Foster City,San Mateo,Moving,,,passenger car,2,,,Yes,,Nissan ,Yes,"A Zoox vehicle (Vehicle 1) in autonomy was traveling westbound on Chess Drive in Foster City when a parallel-parked passenger car (Vehicle 2) abruptly entered the Zoox vehicle’s travel lane from a parking space in the right parking lane without yielding or activating a turn signal. Vehicle 2 made contact with the right front side and wheel of the Zoox vehicle, and the Zoox vehicle made contact with the driver side door and left front tire/wheel well of the passenger car. Both vehicles sustained moderate damage and the Zoox vehicle was towed from the scene. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.5538,-122.27,0,1,0,1,1
315,Waymo LLC,Waymo LLC,06/03/2024,04:54,PM,2021,I-Pace,Marina Del Rey,Los Angeles,Moving,,,,2,,Yes,,,Chevrolet Malibu LT,Yes,"On June 3, 2024 at 4:54 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Marina Del Rey, California was in a collision involving a passenger car on Admiralty Way at Bali Way.   The Waymo AV was making a left turn from the rightmost dedicated left turn lane on Admiralty Way into lane two of three lanes in the eastbound direction of Bali Way. A passenger car was also making a left turn from the leftmost dedicated left turn lane (leftmost lane). The passenger car had made the turn onto Bali Way and was partially in the number 1 lane (leftmost) and partially in the number 2 lane (middle) when the front passenger side of the passenger car made contact with the rear driver side of the Waymo AV, which was traveling in the number 2 lane (middle). At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage. ",,Yes,,,,,,Yes,,,,,Yes,,33.9779,-118.4525,0,0,1,1,1
316,Waymo LLC,Waymo LLC,06/04/2024,06:26,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,,Yes,,Toyota RAV4 Hybrid LE,Yes,"On June 4, 2024 at 6:26 PM PT  a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Lombard Street at Fillmore Street.   The Waymo AV was stopped in traffic for a red light on eastbound Lombard Street when an SUV traveling at a high rate of speed changed lanes and approached the Waymo AV from behind. The front of the SUV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. ",Yes,,,,,,,Yes,,,,,Yes,,37.7999,-122.4342,-1,0,1,1,0
317,Waymo LLC,Waymo LLC,06/05/2024,01:12,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Honda Accord LX,Yes,"On June 5, 2024 at 1:12 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on 29th Avenue near Lawton Street.  The Waymo AV was parked at the curb on the right side of 29th Avenue when a passenger car in front of the Waymo AV began to reverse to parallel park. The passenger car’s rear driver side corner made contact with the front driver side corner of the parked Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. ",Yes,,,,,,,Yes,,,,,Yes,,37.75382963,-122.4873785,0,1,0,1,1
318,WERIDE CORP,WERIDE,06/10/2024,10:33,AM,2023,Leaf,San Jose,Santa Clara,Stopped In Traffic,,,,2,,Yes,Yes,,Toyota RAV4,Yes,"At approximately 10:33am, a WeRide vehicle (car 1) was stopped at a red traffic light on E San Carlos st. about to turn right on S 4th St. At this time a Toyota RAV4 (car 2) approached from behind traveling at a speed of (>10mph) and slammed into car 1's rear - causing damages to car 1. Car 1 sustained damages on rear bumper and rear sensors. Both parties pulled over to a safe location to exchange information. Car 2's driver didn't have an up-to-date registration card for the vehicle.",Yes,,,,,,,Yes,,,,,Yes,,37.3476,-121.887,0,0,1,1,1
319,Waymo LLC,Waymo LLC,06/11/2024,12:07,AM,2024,I-Pace,Santa Monica,Los Angeles,Moving,,,,2,,Yes,,,Toyota Highlander,,"On June 11, 2024 at 12:07 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Santa Monica, California was in a collision involving an SUV on Maple Street near 10th Street.   The Waymo AV was maneuvering out of a curbside parallel parking space at the curb on the south side of Maple Street when the passenger side front corner of the Waymo AV made contact with the driver side back corner of an SUV parked in front of the AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.",Yes,,,,,,,,,Yes,,,Yes,,34.01,-118.4717,0,1,1,0,0
320,Waymo LLC,Waymo LLC,07/02/2024,03:09,PM,2024,I-Pace,Los Angeles,Los Angeles,Stopped In Traffic,,,,2,,Yes,,,,Yes,"On July 2, 2024 at 3:09 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a pickup truck on Sycamore Avenue near W. Pico Boulevard.   The Waymo AV was traveling northbound on Sycamore Avenue when it came to a stop to yield to an oncoming pickup truck in a narrow roadway with parked vehicles on both sides of the street. As the oncoming pickup truck passed the stopped Waymo AV, the front driver’s side of the pickup truck made contact with the driver’s side rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the pickup truck left the scene. ",Yes,,,,,,,Yes,,,,,Yes,,34.04358192,-118.3502741,1,1,0,1,2
321,Waymo LLC,Waymo LLC,07/06/2024,12:59,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,Yes,,2,Yes,,,,Trek Hybrid Bicycle,,(See Attached Narrative Document),Yes,,,,,,,Yes,,,,,Yes,,37.7725,-122.4147,-1,0,1,1,1
322,"Zoox, Inc.",Zoox,7/16/2024,05:29,PM,2019,Highlander,San Francisco,San Francisco,Stopped In Traffic,,,Passenger car,2,,Yes,,,Honda Civic,Yes,"A Zoox vehicle (Vehicle 1) in autonomous mode was stopped at a stop sign waiting for traffic to clear to make a left turn from northeast bound King Street onto 7th Street in San Francisco. A passenger car (Vehicle 2) was stopped  directly behind the Zoox vehicle apparently in the process of turning right onto 7th Street. As the Zoox vehicle advanced and then came to a stop as it yielded to cross traffic, the passenger car tried to pass the Zoox vehicle on the right side and contacted the Zoox vehicle. The front bumper on the passenger car and rear bumper on the Zoox vehicle sustained minor damage. There were no reported injuries and the police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7621,-122.3971,0,0,1,1,1
323,Waymo LLC,Waymo LLC,7/18/2024,05:41,PM,2024,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Honda CR-V LX,Yes,"On July 18, 2024 at 5:41 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Bush Street at Market Street.   The Waymo AV was stopped facing a green traffic light on southeastbound Bush Street at the intersection with Market Street to yield to a traffic control officer who was directing traffic in the crosswalk. While the Waymo AV remained stopped and the traffic light turned yellow, an SUV that had been stopped behind the Waymo AV approached the Waymo AV and made contact with the rear of the Waymo AV. When the traffic light ahead of the Waymo AV turned green and the Waymo AV remained stopped, the SUV reversed briefly and then changed lanes into the left adjacent lane to maneuver around the Waymo AV, making contact with the rear driver side corner of the Waymo AV. At the time of the impacts, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage, and the SUV left the scene. ",Yes,,,,,,,Yes,,,,,Yes,,37.7915,-122.4018,0,0,1,1,0
324,Waymo LLC,Waymo LLC,7/27/2024,04:28,AM,2024,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Honda Accord Sport,Yes,"On July 27, 2024 at 4:28 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on Cesar Chavez Street at the Bayshore Boulevard Exit.   The Waymo AV was traveling east on Cesar Chavez Street when it took the one-way onramp exit to Bayshore Boulevard. As the Waymo AV was traveling through the onramp, a passenger car approached in the oncoming direction, traveling the wrong way on the one-way ramp. The Waymo AV slowed to a stop as it yielded to the oncoming passenger car. While the Waymo AV remained stopped, the passenger car passed the Waymo AV on the right of the Waymo AV. As the passenger car was passing the stopped Waymo AV, the passenger side of the passenger car made contact with the rear passenger side of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the passenger car left the scene. ",Yes,,,,,,,,,,Yes,,Yes,,37.7509,-122.4153,-1,0,0,1,1
325,Waymo LLC,Waymo LLC,08/01/2024,10:05,AM,2024,I-Pace,Los Angeles,Los Angeles,Stopped In Traffic,,,,2,,Yes,,,Kia Sportage LX,Yes,"On August 1, 2024 at 10:05 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving an SUV on W. Jefferson Boulevard near La Brea Avenue.   The Waymo AV was stopped in traffic in the leftmost lane of a two-lane section of westbound W. Jefferson Boulevard, just before the road widened to include a dedicated left turn lane in lane three. While the Waymo AV remained stopped, an SUV approached the Waymo AV from behind and partially entered the oncoming lanes of W. Jefferson Boulevard to maneuver around the Waymo AV and proceed into the dedicated left turn lane. As the SUV was passing the stopped Waymo AV, the passenger side of the SUV made contact with the rear driver side corner of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage and the SUV left the scene.",Yes,,,,,,,Yes,,,,,Yes,,34.02660916,-118.3550969,1,0,0,1,0
326,"Zoox, Inc.",Zoox,08/02/2024,09:48,AM,2017,Highlander,San Francisco,San Francisco,Moving,,,See narrative,1,,Yes,,,,,"A Zoox vehicle (Vehicle 1) in autonomous mode, traveling north on Harrison St and turning right onto 13th Street in San Francisco drove over metal debris. The Zoox vehicle sustained minor damage to the undercarriage. There were no reported injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7725,-122.4147,0,0,1,0,0
327,Waymo LLC,Waymo LLC,08/09/2024,12:08,AM,2021,I-Pace,San Francisco,San Francisco,Moving,,,,1,,Yes,,,,,"On August 9, 2024 at 12:08 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a fence on Pacific Avenue at Sansome Street.   The Waymo AV was entering a parking lot on Pacific Avenue between Sansome Street and Battery Street when the front right sensor made contact with a fence. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.",Yes,,,,,,,,,Yes,,,Yes,,37.7974,-122.4001,-1,0,1,0,0
328,Waymo LLC,Waymo LLC,8/20/2024,05:49,PM,2024,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,Yes,,2,Yes,,,,Bicycle,Yes,"On August 20, 2024 at 5:49 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a cyclist on Brannan Street at 4th Street.  The Waymo AV was traveling south-westbound on Brannan Street approaching the intersection with 4th Street. As the Waymo AV came to a stop for a traffic stack ahead of the Waymo AV, partially oriented into the dedicated left turn lane at the location where that lane begins, a cyclist merged out of the bike lane and into the general purpose travel lane, and while the cyclist was looking backwards, the front of the bicycle made contact with the rear passenger side of the stopped Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The cyclist remained upright throughout the interaction and alleged that they had sustained an injury.",Yes,,,,,,,Yes,,,,,Yes,,37.7621,-122.3971,0,0,1,1,4
329,Waymo LLC,Waymo LLC,8/29/2024,11:38,AM,2024,I-Pace,Los Angeles,Los Angeles,Moving,,,wall,1,,Yes,,,,,"On August 29, 2024 at 11:38 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a fixed object (exterior wall next to a garage).   The Waymo AV was making a left turn around a cul-de-sac-style driveway at a low rate of speed when the front passenger side corner of the Waymo AV made contact with the corner of a garage stucco wall. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV and the wall sustained damage. ",Yes,,,,,,,Yes,,,,,Yes,,33.9744917,-118.4216647,0,0,0,0,0
330,Waymo LLC,Waymo LLC,8/30/2024,12:14,AM,2024,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Nissan Rogue S / S Krom / SV,Yes,"On August 30, 2024 at 12:14 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Alemany Boulevard at Ocean Avenue.  The Waymo AV was stopped for a red light in the center of three lanes on northbound Alemany Boulevard at the intersection with Ocean Avenue. While the Waymo AV remained stopped, an SUV traveling partially in the leftmost lane and partially in the same lane as the Waymo AV approached the Waymo AV from behind. The front passenger corner of the SUV then made contact with the rear driver side corner of the stopped Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. ",Yes,,,,,,,,,Yes,,,Yes,,37.7195,-122.4411,0,0,1,1,0
331,Waymo LLC,Waymo LLC,8/30/2024,10:57,AM,2021,I-Pace,Los Angeles,Los Angeles,Moving,,,,2,,Yes,,,Toyota Highlander Hybrid Limited,Yes,"On August 30, 2024 at 10:57 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving an SUV on Highland Avenue at Beverly Boulevard.  The Waymo AV was traveling in the leftmost of the two southbound lanes on Highland Avenue when it began to brake to yield to stopped traffic ahead. Simultaneously, an SUV that was previously in the right lane changed lanes and approached the Waymo AV closely from behind. As the Waymo AV continued to slow, the SUV made contact with the rear of the Waymo AV. The SUV then reversed, drove across the curbed, grass median, and proceeded to travel north on Highland Avenue. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage. ",Yes,,,,,,,Yes,,,,,Yes,,34.0699,-118.3492,0,0,1,1,0
332,Waymo LLC,Waymo LLC,09/03/2024,06:27,PM,2024,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Volkswagen Routan,Yes,"On September 3, 2024 at 6:27PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a van on Kansas Street at 23rd Street.  The Waymo AV was traveling north on Kansas Street and came to a stop at the stop sign at the intersection with 23rd Street when the front of the van traveling behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode.",Yes,,,,,,,Yes,,,,,Yes,,37.7621,-122.3971,-1,0,1,1,0
